status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,name,last.consume.date,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,education,392,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,23,none,s67023,2018/1/2,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),6260,... < 100 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,3,real estate,28,none,q39008,2018/1/18,rent,1,unskilled - resident,1,none,yes,0
no checking account,36,critical account/ other credits existing (not at this bank),car (new),7855,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,25,stores,R55692,2018/5/28,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
... < 0 DM,12,existing credits paid back duly till now,radio/television,1680,500 <= ... < 1000 DM,... >= 7 years,3,female : divorced/separated/married,none,1,real estate,35,none,u34544,2018/7/2,own,1,skilled employee / official,1,none,yes,0
no checking account,48,critical account/ other credits existing (not at this bank),radio/television,3578,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,1,real estate,47,none,r85733,2018/2/5,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,42,existing credits paid back duly till now,radio/television,7174,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",30,none,c50202,2018/9/6,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
... < 0 DM,10,critical account/ other credits existing (not at this bank),furniture/equipment,2132,unknown/ no savings account,... < 1 year,2,female : divorced/separated/married,co-applicant,3,real estate,27,none,M25876,2018/3/24,rent,2,skilled employee / official,1,none,no,0
... < 0 DM,33,critical account/ other credits existing (not at this bank),furniture/equipment,4281,500 <= ... < 1000 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",23,none,v35325,2018/2/4,own,2,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),2366,500 <= ... < 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",36,none,e60832,2018/2/1,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
... < 0 DM,21,existing credits paid back duly till now,radio/television,1835,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,25,none,d48547,2018/12/13,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
no checking account,24,critical account/ other credits existing (not at this bank),car (used),3868,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",41,none,M20831,2018/4/4,rent,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
no checking account,12,existing credits paid back duly till now,furniture/equipment,1768,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,24,none,x59800,2018/11/9,rent,1,unskilled - resident,1,none,yes,0
... >= 200 DM / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),car (new),781,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,unknown / no property,63,none,X27065,2018/1/2,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,18,existing credits paid back duly till now,furniture/equipment,1924,unknown/ no savings account,... < 1 year,4,female : divorced/separated/married,none,3,real estate,27,none,u78929,2018/2/9,rent,1,skilled employee / official,1,none,yes,1
... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2121,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,30,none,u55499,2018/10/15,own,2,skilled employee / official,1,none,yes,0
... < 0 DM,12,existing credits paid back duly till now,radio/television,701,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,40,none,p98401,2018/1/7,own,1,unskilled - resident,1,none,yes,0
0 <= ... < 200 DM,12,existing credits paid back duly till now,repairs,639,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",30,none,g94807,2018/10/4,own,1,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1860,... < 100 DM,unemployed,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",34,none,g88360,2018/1/10,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),3499,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,co-applicant,2,real estate,29,none,O37727,2018/5/6,own,2,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,48,existing credits paid back duly till now,car (new),8487,unknown/ no savings account,4 <= ... < 7 years,1,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",24,none,R60912,2018/1/9,own,1,skilled employee / official,1,none,yes,0
... < 0 DM,36,delay in paying off in the past,education,6887,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,29,stores,e22457,2018/1/11,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
no checking account,15,existing credits paid back duly till now,furniture/equipment,2708,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,27,bank,s39444,2018/10/4,own,2,unskilled - resident,1,none,yes,0
no checking account,18,existing credits paid back duly till now,furniture/equipment,1984,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,unknown / no property,47,bank,T50261,2018/11/24,for free,2,skilled employee / official,1,none,yes,0
no checking account,60,existing credits paid back duly till now,radio/television,10144,100 <= ... < 500 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,real estate,21,none,G82712,2018/2/24,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1240,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,2,real estate,38,none,D93221,2018/1/28,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,27,delay in paying off in the past,car (used),8613,... >= 1000 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",27,none,V68925,2018/11/18,own,2,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,766,500 <= ... < 1000 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,66,none,L86647,2018/1/17,own,1,unskilled - resident,1,none,yes,1
0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,2728,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,guarantor,2,real estate,35,bank,k35766,2018/2/26,own,3,skilled employee / official,1,"yes, registered under the customers name",yes,0
... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,1881,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",44,none,F24416,2018/1/7,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,0
... >= 200 DM / salary assignments for at least 1 year,6,existing credits paid back duly till now,car (new),709,... >= 1000 DM,... < 1 year,2,female : divorced/separated/married,none,2,real estate,27,none,p76716,2018/6/27,own,1,unemployed/ unskilled - non-resident,1,none,no,0
0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,4795,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,unknown / no property,30,none,A28303,2018/1/6,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
... < 0 DM,27,existing credits paid back duly till now,radio/television,3416,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",27,none,T57287,2018/4/22,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0
... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2462,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",22,none,C70969,2018/11/29,own,1,skilled employee / official,1,none,yes,1
no checking account,21,critical account/ other credits existing (not at this bank),furniture/equipment,2288,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,23,none,w12653,2018/12/6,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,48,all credits at this bank paid back duly,business,3566,100 <= ... < 500 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",30,none,v26284,2018/7/5,own,1,skilled employee / official,1,none,yes,0
... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),860,... < 100 DM,... >= 7 years,1,female : divorced/separated/married,none,4,unknown / no property,39,none,R17061,2018/2/4,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,12,critical account/ other credits existing (not at this bank),car (new),682,100 <= ... < 500 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",51,none,X63435,2018/4/24,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,5371,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,guarantor,2,building society savings agreement/ life insurance,28,none,A61832,2018/1/2,own,2,skilled employee / official,1,none,yes,0
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1582,... >= 1000 DM,... >= 7 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",46,none,Q15965,2018/1/17,own,2,skilled employee / official,1,none,yes,0
no checking account,6,existing credits paid back duly till now,radio/television,1346,100 <= ... < 500 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,42,bank,z55108,2018/8/28,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,0
no checking account,10,existing credits paid back duly till now,radio/television,1924,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,38,none,y37176,2018/9/27,own,1,skilled employee / official,1,"yes, registered under the customers name",no,0
